cellid,exampleid,ingoing,circuit,stream,command,length,t_trace
42432,111,True,3844208655,65047,DATA(2),498,1472610679.199039
42433,111,True,3844208655,65047,DATA(2),498,1472610679.199059
42434,111,True,3844208655,65047,DATA(2),498,1472610679.199077
42435,111,True,3844208655,65047,DATA(2),498,1472610679.199094
42436,111,True,3844208655,65047,DATA(2),498,1472610679.199112
42437,111,True,3844208655,65047,DATA(2),498,1472610679.199131
42438,111,True,3844208655,65047,DATA(2),498,1472610679.199177
42439,111,True,3844208655,65047,DATA(2),498,1472610679.27928
42440,111,True,3844208655,65047,DATA(2),498,1472610679.279387
42441,111,True,3844208655,65047,DATA(2),498,1472610679.279409
42442,111,True,3844208655,65047,DATA(2),498,1472610679.279427
42443,111,True,3844208655,65047,DATA(2),498,1472610679.279445
42444,111,True,3844208655,65047,DATA(2),498,1472610679.279488
42445,111,True,3844208655,65047,DATA(2),498,1472610679.279508
42446,111,True,3844208655,65047,DATA(2),498,1472610679.279557
42447,111,True,3844208655,65047,DATA(2),448,1472610679.379156
42448,111,True,3844208655,65047,DATA(2),498,1472610679.37928
42449,111,True,3844208655,65047,DATA(2),498,1472610679.379393
42450,111,True,3844208655,65047,DATA(2),498,1472610679.379413
42451,111,True,3844208655,65047,DATA(2),498,1472610679.379436
42452,111,True,3844208655,65047,DATA(2),498,1472610679.379453
42453,111,True,3844208655,65047,DATA(2),498,1472610679.379473
42454,111,True,3844208655,65047,DATA(2),498,1472610679.37952
42455,111,True,3844208655,65047,DATA(2),498,1472610679.423042
42456,111,True,3844208655,65047,DATA(2),498,1472610679.423127
